date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:43:04	492/492	---M-Z	200	added ('OK')	text/html	etag:%2262e79b1cfb67db1:0%22	https://robloxu.grfssz.xyz/index.html	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/robloxu/robloxu.grfssz.xyz/index.html	(from )
05:43:04	710/710	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Jan%202025%2021:43:04%20GMT	https://robloxu.grfssz.xyz/robots.txt		(from )
05:43:05	144732/144732	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2021:43:04%20GMT	https://robloxu.grfssz.xyz/index.asp	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/robloxu/robloxu.grfssz.xyz/index-2.html	(from https://robloxu.grfssz.xyz/index.html)
05:43:05	8641/8641	---M-Z	200	added ('OK')	application/javascript	etag:%2232d9a120fb67db1:0%22	https://robloxu.grfssz.xyz/js/Std_StranJF.Js	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/robloxu/robloxu.grfssz.xyz/js/Std_StranJF.Js	(from https://robloxu.grfssz.xyz/index.asp)
05:43:05	58941/58941	---M-Z	200	added ('OK')	text/css	etag:%221cbccc20fb67db1:0%22	https://robloxu.grfssz.xyz/nyyh/dh.css	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/robloxu/robloxu.grfssz.xyz/nyyh/dh.css	(from https://robloxu.grfssz.xyz/index.asp)
05:43:06	169713/169713	---M-Z	200	added ('OK')	application/javascript	etag:%22a1c9df20fb67db1:0%22	https://robloxu.grfssz.xyz/nyyh/jquery.js	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/robloxu/robloxu.grfssz.xyz/nyyh/jquery.js	(from https://robloxu.grfssz.xyz/index.asp)
05:43:06	27436/27436	---M-Z	200	added ('OK')	application/javascript	etag:%22a1c9df20fb67db1:0%22	https://robloxu.grfssz.xyz/nyyh/jquery.form.js	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/robloxu/robloxu.grfssz.xyz/nyyh/jquery.form.js	(from https://robloxu.grfssz.xyz/index.asp)
05:43:07	9588/9588	---M-Z	200	added ('OK')	application/javascript	etag:%22487bf020fb67db1:0%22	https://robloxu.grfssz.xyz/nyyh/pop.js	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/robloxu/robloxu.grfssz.xyz/nyyh/pop.js	(from https://robloxu.grfssz.xyz/index.asp)
05:43:07	9463/9463	---M-Z	200	added ('OK')	application/javascript	etag:%22487bf020fb67db1:0%22	https://robloxu.grfssz.xyz/nyyh/popfun.js	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/robloxu/robloxu.grfssz.xyz/nyyh/popfun.js	(from https://robloxu.grfssz.xyz/index.asp)
05:43:07	1641/1641	---M-Z	200	added ('OK')	text/css	etag:%22487bf020fb67db1:0%22	https://robloxu.grfssz.xyz/nyyh/pop.css	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/robloxu/robloxu.grfssz.xyz/nyyh/pop.css	(from https://robloxu.grfssz.xyz/index.asp)
