date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:35	80922/80922	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202025%2016:18:34%20GMT	https://kefu.dfwefv.top/kefu/678554afdc677	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/kefu/678554afdc677.html	(from )
00:18:36	24/24	---M--	200	added ('OK')	text/plain	etag:%226684f1d2-18%22	https://kefu.dfwefv.top/robots.txt		(from )
00:18:38	74303/74303	---MCZ	200	added ('OK')	text/css	etag:W/%226684f1d4-1223f%22	https://kefu.dfwefv.top/static/layui/css/layui.css	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/layui/css/layui.css	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:39	67140/67140	---MCZ	200	added ('OK')	text/css	etag:W/%226684f1d4-10644%22	https://kefu.dfwefv.top/static/customer/css/whisper.cli.v2.css	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/customer/css/whisper.cli.v2.css	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:40	52611/52611	---MCZ	200	added ('OK')	text/css	etag:W/%226684f1d4-cd83%22	https://kefu.dfwefv.top/static/common/js/jqueryWeui/weui.min.css	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/js/jqueryWeui/weui.min.css	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:41	57617/57617	---MCZ	200	added ('OK')	text/css	etag:W/%226684f1d4-e111%22	https://kefu.dfwefv.top/static/common/js/jqueryWeui/jquery-weui.min.css	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/js/jqueryWeui/jquery-weui.min.css	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:42	1942/1942	---MCZ	200	added ('OK')	text/css	etag:W/%226684f1d2-796%22	https://kefu.dfwefv.top/static/common/css/iconfont.css	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/css/iconfont.css	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:43	37132/37132	---MCZ	200	added ('OK')	text/css	etag:W/%226684f1d4-910c%22	https://kefu.dfwefv.top/static/common/jym/index.css	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/jym/index.css	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:43	6999/6999	---MCZ	200	added ('OK')	text/css	etag:W/%226684f1d4-1b57%22	https://kefu.dfwefv.top/static/common/jym/index(1).css	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/jym/index(1).css	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:46	151152/151152	---M--	200	added ('OK')	image/png	etag:%226734e7be-24e70%22	https://kefu.dfwefv.top/static/common/images/kefu.png	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/images/kefu.png	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:46	6698/6698	---M--	200	added ('OK')	image/png	etag:%226684f1d2-1a2a%22	https://kefu.dfwefv.top/static/common/images/chat-face.png	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/images/chat-face.png	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:47	6395/6395	---M--	200	added ('OK')	image/png	etag:%226684f1d2-18fb%22	https://kefu.dfwefv.top/static/common/images/chat-jia.png	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/images/chat-jia.png	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:48	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%226684f1d4-14979%22	https://kefu.dfwefv.top/static/common/js/jquery.min.js	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/js/jquery.min.js	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:49	84333/84333	---MCZ	200	added ('OK')	application/javascript	etag:W/%226684f1d4-1496d%22	https://kefu.dfwefv.top/static/common/js/jqueryWeui/jquery-weui.min.js	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/js/jqueryWeui/jquery-weui.min.js	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:50	7395/7395	---MCZ	200	added ('OK')	application/javascript	etag:W/%226684f1d4-1ce3%22	https://kefu.dfwefv.top/static/layui/layui.js	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/layui/layui.js	(from https://kefu.dfwefv.top/kefu/678554afdc677)
00:18:51	3099/3099	---MCZ	200	added ('OK')	application/javascript	etag:W/%226684f1d4-c1b%22	https://kefu.dfwefv.top/static/common/js/reconnecting-websocket.min.js	C:/Users/acer/Desktop/New%20folder/leong%20chee%20yin%20new%20era%20homeword/program/for%20fun/top/chat/kefu.dfwefv.top/static/common/js/reconnecting-websocket.min.js	(from https://kefu.dfwefv.top/kefu/678554afdc677)
